insurance_id,payer_name,payer_type
INS-MPWW3V,"Johnson, Mcintyre and Garrett",Insurance
INS-TGQSLL,Gonzalez Group,Insurance
INS-D94I1P,Robbins Ltd,Insurance
INS-NOREG67,Wood Inc,Government
INS-NOREG68,Henson Group,Insurance
INS-O45H8D,Merritt-Flynn,Government
INS-ZJHGV5,"Andrade, Gilbert and Cook",Government
INS-VKPH8T,Wood Inc,Insurance
INS-F7M457,Robbins Ltd,Insurance
INS-NOREG69,,Self-pay
INS-WXZ0A8,Wood Inc,Insurance
INS-1P4DFB,"Thomas, Blake and Harding",Insurance
INS-JY6JK4,,Insurance
INS-FNCAQL,"Smith, Cole and Rodgers",Insurance
INS-O6DZ2T,Walker-Bates,Government
INS-NWLKBN,"Lopez, Johnson and Myers",Government
INS-QR4DPJ,Day Group,Insurance
INS-B0EV28,Brooks-Johnson,Insurance
INS-RACTOW,Wood Inc,Government
INS-CZQVSY,,Insurance
INS-E9U88F,"Richard, Floyd and Villanueva",Insurance
INS-QVJGR9,Fowler-Smith,Insurance
INS-2I3QPI,"Andrade, Gilbert and Cook",Government
INS-A7MODZ,,Government
INS-NOREG70,Walsh-Thomas,Government
INS-JZYLET,Lee and Sons,Government
INS-NOREG71,Fowler-Smith,Insurance
INS-NOREG72,,Self-pay
INS-ZRYFVA,Peterson-Williams,Government
INS-3LA49S,Jackson-Hubbard,Government
INS-XJ9WLB,Walsh-Thomas,Government
INS-QEJMGZ,Day Group,Insurance
INS-C6KMES,,Insurance
INS-NOREG73,,Self-pay
INS-LAOD08,Flores-Allen,Insurance
INS-7TAWQW,"Anderson, Oconnell and Yates",Insurance
INS-XB24DB,Day Group,Insurance
INS-M82JPC,"Lopez, Johnson and Myers",Government
INS-L5POVS,"Smith, Cole and Rodgers",Government
INS-C8D3PF,Fowler-Smith,Insurance
INS-NOREG74,,Self-pay
INS-8VQ11Y,Gonzalez Group,Government
INS-71MC3V,"Smith, Cole and Rodgers",Insurance
INS-4H6ATB,"Johnson, Mcintyre and Garrett",Insurance
INS-HJTGR1,Flores-Allen,Government
INS-JCL170,Robbins Ltd,Insurance
INS-T53POX,Shaw-Jacobs,Insurance
INS-NOREG75,Peterson-Williams,Insurance
INS-S1X752,Wood Inc,Government
INS-6MRM93,"Thomas, Blake and Harding",Government
INS-1UVE29,,Government
INS-4CXBWD,"Johnson, Mcintyre and Garrett",Government
INS-OGAPJN,"Smith, Cole and Rodgers",Insurance
INS-MU6O4Y,Flores-Allen,Government
INS-ERXDTV,"Anderson, Oconnell and Yates",Government
INS-FFWDSJ,Wood Inc,Insurance
INS-ZHVWKC,"Thomas, Blake and Harding",Insurance
INS-BTDK9M,Peterson-Williams,Insurance
INS-JX7T7F,,Government
INS-NOREG76,Robbins Ltd,Government
INS-WE89Z9,Fowler-Smith,Insurance
INS-47XMVL,"Anderson, Oconnell and Yates",Insurance
INS-L5CFWL,Wood Inc,Government
INS-NOREG77,Robbins Ltd,Government
INS-WM5DIF,Shaw-Jacobs,Insurance
INS-KNIPZE,Henson Group,Insurance
INS-FKEYJI,Martinez-Burnett,Insurance
INS-2SYP8A,Flores-Allen,Insurance
INS-6GII7X,"Andrade, Gilbert and Cook",Insurance
INS-5EEQW9,Day Group,Government
INS-I5RQ0L,Fowler-Smith,Government
INS-NOREG78,Brooks-Johnson,Government
INS-DM9A4T,"Sanchez, Shaffer and Watson",Government
INS-OYU1Y4,Jackson-Hubbard,Government
INS-DQT37D,Brooks-Johnson,Insurance
INS-YDXDP9,"Anderson, Oconnell and Yates",Government
INS-5K5GCC,"Thomas, Blake and Harding",Government
INS-EUIDRN,"Sanchez, Shaffer and Watson",Government
INS-0DJCVC,,Insurance
INS-E7DD2H,Fowler-Smith,Insurance
INS-AYPEG8,Wood Inc,Government
INS-NOREG79,Fowler-Smith,Insurance
INS-NM448S,,Insurance
INS-NOREG80,,Self-pay
INS-CNLAHI,Martinez-Burnett,Insurance
INS-NOREG81,,Self-pay
INS-U1FHOD,,Government
INS-YGNOJ0,Merritt-Flynn,Insurance
INS-NOREG82,,Self-pay
INS-INB45K,Jackson-Hubbard,Insurance
INS-8ILQHY,"Andrade, Gilbert and Cook",Insurance
INS-NOREG83,,Self-pay
INS-XN2A5G,"Thomas, Blake and Harding",Government
INS-FFAI3M,"Lopez, Johnson and Myers",Government
INS-GC9TWM,"Smith, Cole and Rodgers",Insurance
INS-WS7FJ1,Flores-Allen,Government
INS-5OD3F2,Jackson-Hubbard,Government
INS-SEN8O2,Brooks-Johnson,Government
INS-BL8O9M,"Johnson, Mcintyre and Garrett",Insurance
INS-SILICN,"Richard, Floyd and Villanueva",Insurance
INS-S6CUTD,Walsh-Thomas,Insurance
INS-M8W6LK,"Thomas, Blake and Harding",Government
INS-Q8IG06,"Lopez, Johnson and Myers",Insurance
INS-VCSDVV,Walker-Bates,Insurance
INS-2A7WE3,,Government
INS-K3LPZM,Merritt-Flynn,Government
INS-1JFSBG,Flores-Allen,Insurance
INS-U9ISG0,Martinez-Burnett,Government
INS-7HTMZX,"Richard, Floyd and Villanueva",Government
INS-6ZFI0I,,Insurance
INS-DR2DCU,"Johnson, Mcintyre and Garrett",Insurance
INS-4SDW4Y,Flores-Allen,Insurance
INS-Y7YA3W,Wood Inc,Government
INS-FJ71HB,"Lopez, Johnson and Myers",Insurance
INS-08SAZ7,Flores-Allen,Government
INS-ANRDYF,Henson Group,Insurance
INS-R4HY5A,"Thomas, Blake and Harding",Government
INS-R0MBP2,Lee and Sons,Insurance
INS-9ILA40,Jackson-Hubbard,Insurance
INS-HQK6V0,"Lopez, Johnson and Myers",Insurance
INS-ILMDLE,Shaw-Jacobs,Government
INS-DWXE70,"Andrade, Gilbert and Cook",Government
INS-TLBPIJ,"Thomas, Blake and Harding",Government
INS-QSL1NH,,Insurance
INS-NOREG84,,Government
INS-PHWP1P,"Richard, Floyd and Villanueva",Government
INS-IZH8I8,Gonzalez Group,Insurance
INS-5UNY10,Walsh-Thomas,Insurance
INS-MJ6SFF,Lee and Sons,Government
INS-N8157G,,Insurance
INS-NOREG85,,Self-pay
INS-NOREG86,Brooks-Johnson,Insurance
INS-D1N43A,"Andrade, Gilbert and Cook",Insurance
INS-0NBB5F,Martinez-Burnett,Government
INS-U9A1L4,"Lopez, Johnson and Myers",Government
INS-DACG1S,Chang Inc,Government
INS-NOREG87,,Self-pay
INS-V1CRVT,Brooks-Johnson,Insurance
INS-9W9CRF,Merritt-Flynn,Government
INS-OYSXAW,Lee and Sons,Insurance
INS-64FDW1,Gonzalez Group,Government
INS-MTJFFU,Chang Inc,Government
INS-253Z8M,Brooks-Johnson,Government
INS-9VXJRI,Jackson-Hubbard,Insurance
INS-4ETT2E,Day Group,Government
INS-AIQMH8,,Insurance
INS-NHAXBP,"Smith, Cole and Rodgers",Insurance
INS-DUO437,Shaw-Jacobs,Insurance
INS-LXDYPM,"Anderson, Oconnell and Yates",Insurance
INS-3NPJP8,"Thomas, Blake and Harding",Insurance
INS-OX02ZH,Merritt-Flynn,Insurance
INS-UBT7VE,Walker-Bates,Insurance
INS-5TKJEV,Brooks-Johnson,Insurance
INS-5TW20E,Day Group,Government
INS-WCGGES,Walker-Bates,Insurance
INS-9NPEEU,Martinez-Burnett,Government
INS-NOREG88,"Thomas, Blake and Harding",Insurance
INS-8IFFE0,Gonzalez Group,Insurance
INS-XRT9VO,Fowler-Smith,Government
INS-II7JYF,"Smith, Cole and Rodgers",Government
INS-IOS0CD,Robbins Ltd,Insurance
INS-89DSHL,"Richard, Floyd and Villanueva",Insurance
INS-LKC87T,Fowler-Smith,Insurance
INS-JE69NL,Robbins Ltd,Government
INS-ZAUULR,Lee and Sons,Government
INS-D2OHLF,Wood Inc,Insurance
INS-8C4VTU,Day Group,Government
INS-K0XU67,"Johnson, Mcintyre and Garrett",Government
INS-YQ389C,"Sanchez, Shaffer and Watson",Government
INS-30CUW5,"Andrade, Gilbert and Cook",Government
INS-ZQMKNI,"Smith, Cole and Rodgers",Insurance
INS-IA6CU4,Robbins Ltd,Insurance
INS-G38MER,Jackson-Hubbard,Government
INS-XQZR3H,"Andrade, Gilbert and Cook",Insurance
INS-BAHXDT,Robbins Ltd,Government
INS-B9BNUT,Peterson-Williams,Insurance
INS-LQL37F,Lee and Sons,Insurance
INS-6GG0FM,"Smith, Cole and Rodgers",Insurance
INS-EF8LRF,"Johnson, Mcintyre and Garrett",Insurance
INS-UW7736,Henson Group,Government
INS-KDG17Y,"Smith, Cole and Rodgers",Insurance
INS-4N92K0,Shaw-Jacobs,Insurance
INS-2QEWQD,Peterson-Williams,Insurance
INS-YDH4BN,"Thomas, Blake and Harding",Insurance
INS-XFNT8P,Flores-Allen,Government
INS-VWXMIR,"Richard, Floyd and Villanueva",Government
INS-0P379M,Fowler-Smith,Government
INS-Q7Y49L,Walker-Bates,Government
INS-PBUX9Y,"Johnson, Mcintyre and Garrett",Government
INS-NOREG89,Henson Group,Insurance
INS-NOREG90,,Self-pay
INS-4RLXR1,Shaw-Jacobs,Government
INS-DCKSQ8,Robbins Ltd,Government
INS-U0O7RW,"Johnson, Mcintyre and Garrett",Insurance
INS-A03M7B,Walker-Bates,Insurance
INS-M2GJJ3,Day Group,Government
INS-85WO9M,Chang Inc,Government
INS-IDQKSD,Chang Inc,Government
INS-SPOMA9,,Insurance
INS-WDFHDX,Walker-Bates,Insurance
INS-4MH1FE,"Thomas, Blake and Harding",Government
INS-QSC6OB,Martinez-Burnett,Government
INS-216PBI,"Richard, Floyd and Villanueva",Insurance
INS-YWK82Y,"Anderson, Oconnell and Yates",Insurance
INS-5M4E6Y,"Lopez, Johnson and Myers",Government
INS-NP3QVV,"Andrade, Gilbert and Cook",Government
INS-ZKOF4N,Lee and Sons,Government
INS-WODFLU,,Insurance
INS-4NCZA4,,Insurance
INS-HKK2ZP,Henson Group,Government
INS-PHO07Y,,Government
INS-RH8Z56,"Andrade, Gilbert and Cook",Government
INS-1FB4ZL,Wood Inc,Insurance
INS-WPRJ3A,Fowler-Smith,Government
INS-AXVM0S,"Thomas, Blake and Harding",Government
INS-769NMT,Shaw-Jacobs,Government
INS-R3RTK7,"Anderson, Oconnell and Yates",Insurance
INS-NOREG91,Robbins Ltd,Insurance
INS-NOREG92,Day Group,Insurance
INS-F634XS,Lee and Sons,Insurance
INS-J980YJ,"Lopez, Johnson and Myers",Insurance
INS-U1D055,Henson Group,Government
INS-NZSFQ3,Robbins Ltd,Government
INS-EV44I9,Shaw-Jacobs,Government
INS-R2NNPB,"Richard, Floyd and Villanueva",Government
INS-NOREG93,,Self-pay
INS-SC6E7F,Walker-Bates,Insurance
INS-MS1J2W,,Insurance
INS-HNSJ53,Martinez-Burnett,Government
INS-XAZ3H3,"Sanchez, Shaffer and Watson",Insurance
INS-QSYMEM,Walsh-Thomas,Government
INS-UJF42B,Chang Inc,Government
INS-OM6PF8,Flores-Allen,Government
INS-MUN4U6,Lee and Sons,Government
INS-GI4O43,Peterson-Williams,Insurance
INS-H9DPYS,"Andrade, Gilbert and Cook",Insurance
INS-BW8M0S,,Government
INS-9E4S4Y,Merritt-Flynn,Insurance
INS-ZV8ATZ,"Sanchez, Shaffer and Watson",Insurance
INS-CVO8SJ,"Richard, Floyd and Villanueva",Insurance
INS-JNPSLD,Walker-Bates,Insurance
INS-JZZQL6,Gonzalez Group,Insurance
INS-NOREG94,,Self-pay
INS-PLFPVY,Walker-Bates,Government
INS-QPXB6S,Robbins Ltd,Insurance
INS-ML875X,Peterson-Williams,Insurance
INS-3571C0,Flores-Allen,Government
INS-1OQ32X,,Insurance
INS-QI5BNY,,Government
INS-T3812W,Wood Inc,Insurance
INS-FM5H4D,Gonzalez Group,Insurance
INS-8Z11EC,Henson Group,Insurance
INS-RTAJRY,"Thomas, Blake and Harding",Government
INS-NOREG95,,Self-pay
INS-NOREG96,,Self-pay
INS-8VIIOX,Brooks-Johnson,Government
INS-PUWCQ0,,Government
INS-00NGHT,Day Group,Government
INS-JGYKPJ,Henson Group,Insurance
INS-YF1G2E,Gonzalez Group,Insurance
INS-F0PFWV,,Government
INS-OZ93Y1,"Sanchez, Shaffer and Watson",Insurance
INS-1CZQXD,"Thomas, Blake and Harding",Government
INS-U7Q7C7,"Johnson, Mcintyre and Garrett",Government
INS-KVAHX0,"Thomas, Blake and Harding",Government
INS-GI0FYE,Walsh-Thomas,Insurance
INS-NOREG97,Robbins Ltd,Insurance
INS-N4F9QE,Day Group,Insurance
INS-O2UCHS,,Government
INS-YSWN1R,Gonzalez Group,Insurance
INS-CKUJ0M,,Insurance
INS-2S681P,Jackson-Hubbard,Insurance
INS-NOREG98,,Self-pay
INS-3EDOZ0,Flores-Allen,Insurance
INS-Q6OI8J,"Sanchez, Shaffer and Watson",Government
INS-RQ4P8C,Wood Inc,Government
INS-GRZN4J,Martinez-Burnett,Insurance
INS-QXMK0K,"Richard, Floyd and Villanueva",Government
INS-HVHYTW,,Insurance
INS-NOREG99,Robbins Ltd,Government
INS-NELLC3,Day Group,Insurance
INS-NOREG100,,Self-pay
INS-GMWO4T,"Anderson, Oconnell and Yates",Insurance
INS-3CGHEA,"Andrade, Gilbert and Cook",Government
INS-O6W3V5,Day Group,Government
INS-E3RID3,"Thomas, Blake and Harding",Government
INS-N6Z70W,Chang Inc,Government
INS-L659GQ,Robbins Ltd,Government
INS-3BUADR,"Thomas, Blake and Harding",Insurance
INS-2S4HJ3,"Andrade, Gilbert and Cook",Insurance
INS-A7AVKV,Flores-Allen,Government
INS-TOXPI1,Flores-Allen,Government
INS-4DAFVN,,Government
INS-JA5OHO,Robbins Ltd,Government
INS-JFTPXB,Fowler-Smith,Government
INS-7SODX1,Robbins Ltd,Insurance
INS-NOREG101,Walker-Bates,Government
INS-NOREG102,"Thomas, Blake and Harding",Insurance
INS-NOREG103,Walsh-Thomas,Insurance
INS-1772WJ,"Lopez, Johnson and Myers",Insurance
INS-BN3ZIO,Flores-Allen,Government
INS-D3FDFM,Robbins Ltd,Government
INS-AP1J37,,Government
INS-56H4BH,Gonzalez Group,Insurance
INS-LS75NE,Shaw-Jacobs,Government
INS-53W0VG,,Government
INS-DYN8R2,Walker-Bates,Insurance
INS-XQIYPP,Merritt-Flynn,Government
INS-NOREG104,Henson Group,Government
INS-NOREG105,Chang Inc,Government
INS-BV170O,Jackson-Hubbard,Government
INS-0X2CZ6,"Lopez, Johnson and Myers",Insurance
INS-T7MSE4,"Anderson, Oconnell and Yates",Government
INS-IAJ0L7,Robbins Ltd,Insurance
INS-UT290Y,Brooks-Johnson,Government
INS-RJN6VQ,Flores-Allen,Insurance
INS-PX6LZL,"Anderson, Oconnell and Yates",Government
INS-VGG3CB,Wood Inc,Insurance
INS-QLMALV,"Lopez, Johnson and Myers",Government
INS-OVWAS9,"Sanchez, Shaffer and Watson",Insurance
INS-EF3MTV,Shaw-Jacobs,Government
INS-UIBGX3,Peterson-Williams,Insurance
INS-NOREG106,Henson Group,Government
INS-O884TL,"Thomas, Blake and Harding",Government
INS-N41FSB,"Andrade, Gilbert and Cook",Government
INS-DWVZ37,"Richard, Floyd and Villanueva",Insurance
INS-Q7W6MI,Henson Group,Government
INS-QS80Y1,"Thomas, Blake and Harding",Government
INS-MN8B22,,Insurance
INS-10CZ2L,"Richard, Floyd and Villanueva",Government
INS-MFUA0B,Henson Group,Insurance
INS-5QKZZE,"Smith, Cole and Rodgers",Insurance
INS-9ZTT5F,Peterson-Williams,Insurance
INS-5D5HHZ,,Government
INS-YOHK4L,Chang Inc,Insurance
INS-TMD01H,Jackson-Hubbard,Government
INS-ZOF5NQ,Jackson-Hubbard,Government
INS-1XC6IB,"Lopez, Johnson and Myers",Government
INS-LNAE8L,"Thomas, Blake and Harding",Insurance
INS-ARYOY7,Henson Group,Insurance
INS-XCC620,Martinez-Burnett,Government
INS-NOREG107,"Sanchez, Shaffer and Watson",Insurance
INS-HR96CV,"Thomas, Blake and Harding",Government
INS-WT47NC,Henson Group,Government
INS-NOREG108,"Sanchez, Shaffer and Watson",Government
INS-NOREG109,Gonzalez Group,Government
INS-BBC8OT,Robbins Ltd,Government
INS-NTA2PK,Martinez-Burnett,Insurance
INS-ZK9PG8,"Lopez, Johnson and Myers",Insurance
INS-B3C9SP,Lee and Sons,Insurance
INS-LVPNTJ,"Johnson, Mcintyre and Garrett",Government
INS-BUN8IX,Wood Inc,Insurance
INS-12VAJU,"Lopez, Johnson and Myers",Government
INS-3L52LZ,Day Group,Insurance
INS-TOJG8D,,Insurance
INS-BREG18,"Thomas, Blake and Harding",Government
INS-Q8T4H9,Shaw-Jacobs,Government
INS-MZMY19,Lee and Sons,Insurance
INS-22AC0T,Walker-Bates,Insurance
INS-PKISMM,Robbins Ltd,Government
INS-I5QKU8,Shaw-Jacobs,Insurance
INS-L7EFXV,Day Group,Insurance
INS-OAJY8S,"Lopez, Johnson and Myers",Government
INS-ZJQ3AB,"Andrade, Gilbert and Cook",Insurance
INS-DEP8F6,Jackson-Hubbard,Government
INS-NOREG110,,Self-pay
INS-ZLBZ9Z,Day Group,Government
INS-740PXS,"Anderson, Oconnell and Yates",Government
INS-NOREG111,,Self-pay
INS-RPRLPS,Jackson-Hubbard,Government
INS-W7GLXL,Wood Inc,Government
INS-VJ6ODB,Flores-Allen,Government
INS-JKWT16,"Thomas, Blake and Harding",Insurance
INS-NOREG112,"Johnson, Mcintyre and Garrett",Government
INS-3RG9JP,Robbins Ltd,Insurance
INS-HR7ZEN,Henson Group,Government
INS-ZU0OUT,Jackson-Hubbard,Government
INS-81ZZP5,"Smith, Cole and Rodgers",Government
INS-E6FFJP,Lee and Sons,Insurance
INS-ERA0VV,Chang Inc,Insurance
INS-C9TDZU,"Thomas, Blake and Harding",Government
INS-J6DVWM,Wood Inc,Government
INS-67NEZ6,Lee and Sons,Government
INS-S6ZGTZ,Lee and Sons,Insurance
INS-6L40X5,Wood Inc,Insurance
INS-27QBFO,Gonzalez Group,Government
INS-62T077,Walsh-Thomas,Insurance
INS-NOREG113,Wood Inc,Government
INS-PKFJPB,Walsh-Thomas,Insurance
INS-AZONN3,Robbins Ltd,Insurance
INS-AOBEXX,Robbins Ltd,Insurance
INS-YUUAFM,Martinez-Burnett,Insurance
INS-AQC5EA,Wood Inc,Insurance
INS-HY5MP1,Gonzalez Group,Insurance
INS-99B2VC,Henson Group,Government
INS-C1LDZ7,,Insurance
INS-NOREG114,,Insurance
INS-NO7DR0,Chang Inc,Insurance
INS-Q1HCTO,Fowler-Smith,Government
INS-SXOX9E,"Smith, Cole and Rodgers",Government
INS-NOREG115,,Self-pay
INS-KGD7F6,Henson Group,Insurance
INS-NOREG116,,Government
INS-CAV7KU,Peterson-Williams,Government
INS-JMUHZC,Walsh-Thomas,Insurance
INS-IT0VW5,Brooks-Johnson,Insurance
INS-BKNIRC,Day Group,Insurance
INS-EGD18N,Fowler-Smith,Government
INS-OF9U6S,"Andrade, Gilbert and Cook",Government
INS-FRMYEB,Brooks-Johnson,Government
INS-IIIU3J,Walsh-Thomas,Insurance
INS-3JDPCI,Merritt-Flynn,Government
INS-DI161Y,"Sanchez, Shaffer and Watson",Government
INS-L90SKQ,Merritt-Flynn,Government
INS-ZUBWYK,,Government
INS-TEQQSV,Robbins Ltd,Government
INS-5DSJ3P,"Anderson, Oconnell and Yates",Insurance
INS-1HXT8P,"Andrade, Gilbert and Cook",Insurance
INS-2V8QWZ,,Insurance
INS-ATYJ4D,Day Group,Insurance
INS-8B2AR0,Gonzalez Group,Insurance
INS-OLTUPH,Walsh-Thomas,Government
INS-NOREG117,Fowler-Smith,Government
INS-AEII5W,Flores-Allen,Government
INS-0F3K2Z,Shaw-Jacobs,Insurance
INS-E7PK82,Gonzalez Group,Insurance
INS-124TB9,Robbins Ltd,Government
INS-XKJKQ8,"Andrade, Gilbert and Cook",Insurance
INS-O84MPT,,Insurance
INS-NOREG118,Flores-Allen,Insurance
INS-U7K66U,Martinez-Burnett,Government
INS-JV0448,Robbins Ltd,Insurance
INS-FRSHUJ,Wood Inc,Government
INS-DPDJ24,Gonzalez Group,Government
INS-IT0K2N,"Sanchez, Shaffer and Watson",Insurance
INS-2T7VW5,Lee and Sons,Government
INS-027Q5R,Walsh-Thomas,Insurance
INS-NOREG119,Walker-Bates,Government
INS-FRJAA5,Martinez-Burnett,Insurance
INS-6LLOCW,Wood Inc,Insurance
INS-RW9PHQ,"Andrade, Gilbert and Cook",Government
INS-MRP2OY,"Johnson, Mcintyre and Garrett",Government
INS-Z9GPQN,Gonzalez Group,Government
INS-OXHI99,,Insurance
INS-C41ISJ,Flores-Allen,Insurance
INS-BKHJC5,Gonzalez Group,Insurance
INS-T6UCUZ,Peterson-Williams,Insurance
INS-0PPF8T,Gonzalez Group,Insurance
INS-7GMCTH,Walsh-Thomas,Government
INS-78G8YV,"Thomas, Blake and Harding",Insurance
INS-O2W4SM,"Thomas, Blake and Harding",Insurance
INS-HKUCEA,Lee and Sons,Government
INS-SS53CP,Merritt-Flynn,Government
INS-LLBDYV,Chang Inc,Insurance
INS-NOREG120,Walker-Bates,Government
INS-IGN0EV,"Smith, Cole and Rodgers",Insurance
INS-8FYQ91,Walker-Bates,Insurance
INS-BVC7PG,Peterson-Williams,Insurance
INS-9FDBNL,Shaw-Jacobs,Government
INS-Z5JVZK,Day Group,Government
INS-9EQT98,Jackson-Hubbard,Government
INS-V0Y7AJ,"Andrade, Gilbert and Cook",Insurance
INS-AGYNQN,Jackson-Hubbard,Insurance
INS-G0A0QQ,"Thomas, Blake and Harding",Insurance
INS-NOREG121,Walsh-Thomas,Government
INS-A0L8I8,Fowler-Smith,Government
INS-J73BP0,"Smith, Cole and Rodgers",Insurance
INS-JSRVQ9,Brooks-Johnson,Insurance
INS-NOREG122,,Self-pay
INS-KOZFGK,Henson Group,Insurance
INS-CLGBHZ,"Andrade, Gilbert and Cook",Government
INS-UKE958,Walker-Bates,Insurance
INS-1EBNKW,"Andrade, Gilbert and Cook",Government
INS-J52ZHM,Jackson-Hubbard,Insurance
INS-RDLZRN,Merritt-Flynn,Insurance
INS-PT7KG7,Martinez-Burnett,Insurance
INS-6OMAY5,Brooks-Johnson,Insurance
INS-BD5N1T,Day Group,Government
INS-2EUUTZ,"Anderson, Oconnell and Yates",Insurance
INS-IU1LQ3,Gonzalez Group,Insurance
INS-R6JA81,"Johnson, Mcintyre and Garrett",Insurance
INS-W37I31,Shaw-Jacobs,Government
INS-2LJDPN,Wood Inc,Insurance
INS-NRHAX4,Day Group,Insurance
INS-AC3LCT,"Smith, Cole and Rodgers",Government
INS-MHE895,"Johnson, Mcintyre and Garrett",Insurance
INS-N05FME,Jackson-Hubbard,Government
INS-TPAVSG,Fowler-Smith,Insurance
INS-NG0KGT,,Insurance
INS-3PQ7CX,"Richard, Floyd and Villanueva",Government
INS-XMUMNM,"Sanchez, Shaffer and Watson",Government
INS-4NEZ7K,Day Group,Government
INS-Q6O9ZK,"Lopez, Johnson and Myers",Government
INS-PCB4UF,Henson Group,Government
INS-D0K0Z9,"Lopez, Johnson and Myers",Government
INS-YQ8WPK,Merritt-Flynn,Government
INS-87SRR5,Gonzalez Group,Government
INS-0XU1P0,"Lopez, Johnson and Myers",Government
INS-2ECGB6,Shaw-Jacobs,Insurance
INS-OAND2H,Flores-Allen,Government
INS-9C67XS,Henson Group,Government
INS-GN337G,Henson Group,Government
INS-1JFZR5,Walker-Bates,Government
INS-NOREG123,Chang Inc,Insurance
INS-9N5YQR,Peterson-Williams,Government
INS-1HJYR4,Jackson-Hubbard,Insurance
INS-1QMEQ0,Martinez-Burnett,Government
INS-VEPND9,Fowler-Smith,Insurance
INS-XBJ9ZG,Peterson-Williams,Insurance
INS-R2IWSM,Walsh-Thomas,Insurance
INS-LO2YZ6,Merritt-Flynn,Insurance
INS-EHN3HI,Shaw-Jacobs,Government
INS-P77I7I,Day Group,Insurance
INS-SM8J35,Lee and Sons,Insurance
INS-X1R9T5,,Insurance
INS-WPO2FF,Wood Inc,Government
INS-J578PI,"Anderson, Oconnell and Yates",Insurance
INS-FM6DAQ,Shaw-Jacobs,Government
INS-MX74F6,Henson Group,Insurance
INS-0FJGFG,Robbins Ltd,Insurance
INS-T73KJJ,"Sanchez, Shaffer and Watson",Government
INS-NOREG124,Wood Inc,Insurance
INS-AV7U4D,"Anderson, Oconnell and Yates",Government
INS-NOREG125,"Thomas, Blake and Harding",Government
INS-N866P4,Lee and Sons,Insurance
INS-OOW5C4,Brooks-Johnson,Government
INS-JWAIRD,Flores-Allen,Insurance
INS-VOKYPQ,Flores-Allen,Government
INS-MGM1BT,Fowler-Smith,Insurance
INS-NOREG126,Henson Group,Insurance
INS-OCRKCK,"Lopez, Johnson and Myers",Government
INS-NOREG127,,Self-pay
INS-NOREG128,Wood Inc,Government
INS-BM6RNX,"Andrade, Gilbert and Cook",Insurance
INS-SCHUT4,Chang Inc,Insurance
INS-F4OZUO,"Andrade, Gilbert and Cook",Insurance
INS-EW9M8C,Peterson-Williams,Insurance
INS-M3HI9D,Henson Group,Insurance
INS-NOREG129,,Insurance
INS-JCARZS,Lee and Sons,Government
INS-XSML7P,Flores-Allen,Government
INS-RO9E7W,"Richard, Floyd and Villanueva",Government
INS-MA08BQ,Wood Inc,Insurance
INS-4846QA,Robbins Ltd,Insurance
INS-NPU43H,Lee and Sons,Insurance
INS-WTD3VO,Walker-Bates,Government
INS-840Q7L,Day Group,Government
INS-S920LH,Henson Group,Government
INS-TKTUUU,Lee and Sons,Insurance
INS-RPQOSE,Flores-Allen,Government
INS-EBPES1,Robbins Ltd,Government
INS-UDNDLA,Gonzalez Group,Insurance
INS-1AIFSG,"Sanchez, Shaffer and Watson",Government
INS-1961DL,Shaw-Jacobs,Government
INS-G66WOR,,Government
INS-XQ9V5I,"Anderson, Oconnell and Yates",Insurance
INS-MJ6VBR,,Government
INS-3UTEC8,Wood Inc,Government
INS-TVK38V,"Anderson, Oconnell and Yates",Insurance
INS-2YTMPP,Lee and Sons,Insurance
INS-RNLP45,"Anderson, Oconnell and Yates",Insurance
INS-BN6YTF,"Andrade, Gilbert and Cook",Insurance
INS-Z68IKN,Martinez-Burnett,Insurance
INS-F9DALO,Robbins Ltd,Government
INS-MBNX1D,Gonzalez Group,Insurance
INS-4O5KFX,"Sanchez, Shaffer and Watson",Insurance
INS-K56DUG,"Sanchez, Shaffer and Watson",Insurance
INS-NOREG130,,Insurance
INS-VH6OYS,"Thomas, Blake and Harding",Government
INS-11XTPP,Chang Inc,Insurance
INS-R3OF9N,Flores-Allen,Insurance
INS-93WC6F,"Richard, Floyd and Villanueva",Government
INS-6UXU3M,"Thomas, Blake and Harding",Government
INS-38DOIJ,Fowler-Smith,Government
INS-8L0YL1,Day Group,Insurance
INS-T12OW9,"Smith, Cole and Rodgers",Government
INS-NOREG131,"Lopez, Johnson and Myers",Government
INS-CE1259,Walker-Bates,Government
INS-ACTI9I,"Thomas, Blake and Harding",Insurance
INS-SRAGKV,Brooks-Johnson,Government
INS-NOREG132,Chang Inc,Government
INS-EL03SV,Robbins Ltd,Insurance
INS-NTGMI0,"Thomas, Blake and Harding",Government
INS-Y394PX,Chang Inc,Government
INS-P9UUY5,Walker-Bates,Insurance
INS-WYMDGD,Martinez-Burnett,Government
INS-65Z06I,"Smith, Cole and Rodgers",Insurance
INS-KXBTOP,Walsh-Thomas,Government
INS-HT3BDL,Henson Group,Insurance
INS-8X0JJG,Brooks-Johnson,Government
INS-U32NBB,Walker-Bates,Insurance
INS-MCSXOF,Jackson-Hubbard,Insurance
INS-BXDDGC,Chang Inc,Government
INS-L6MD7A,Day Group,Insurance
INS-I0MBQW,Martinez-Burnett,Government
INS-NOREG133,,Self-pay
INS-EQZ1MS,Walsh-Thomas,Insurance
